timestamp,month,dayofmonth,dayofweek,hour,holiday,hightemp,lowtemp,avgtemp,RH,wind,press,total_precip,last_year,real
2019-06-14 00:00:00,6,4,5,0,0,71,53,62,63,7,1014.7,0,4,7
2019-06-14 01:00:00,6,4,5,1,0,71,53,62,63,7,1014.7,0,9,4
2019-06-14 02:00:00,6,4,5,2,0,71,53,62,63,7,1014.7,0,3,5
2019-06-14 03:00:00,6,4,5,3,0,71,53,62,63,7,1014.7,0,6,4
2019-06-14 04:00:00,6,4,5,4,0,71,53,62,63,7,1014.7,0,4,5
2019-06-14 05:00:00,6,4,5,5,0,71,53,62,63,7,1014.7,0,5,7
2019-06-14 06:00:00,6,4,5,6,0,71,53,62,63,7,1014.7,0,12,6
2019-06-14 07:00:00,6,4,5,7,0,71,53,62,63,7,1014.7,0,20,13
2019-06-14 08:00:00,6,4,5,8,0,71,53,62,63,7,1014.7,0,33,13
2019-06-14 09:00:00,6,4,5,9,0,71,53,62,63,7,1014.7,0,22,25
2019-06-14 10:00:00,6,4,5,10,0,71,53,62,63,7,1014.7,0,26,20
2019-06-14 11:00:00,6,4,5,11,0,71,53,62,63,7,1014.7,0,24,19
2019-06-14 12:00:00,6,4,5,12,0,71,53,62,63,7,1014.7,0,26,23
2019-06-14 13:00:00,6,4,5,13,0,71,53,62,63,7,1014.7,0,25,24
2019-06-14 14:00:00,6,4,5,14,0,71,53,62,63,7,1014.7,0,30,19
2019-06-14 15:00:00,6,4,5,15,0,71,53,62,63,7,1014.7,0,29,28
2019-06-14 16:00:00,6,4,5,16,0,71,53,62,63,7,1014.7,0,39,19
2019-06-14 17:00:00,6,4,5,17,0,71,53,62,63,7,1014.7,0,40,31
2019-06-14 18:00:00,6,4,5,18,0,71,53,62,63,7,1014.7,0,29,20
2019-06-14 19:00:00,6,4,5,19,0,71,53,62,63,7,1014.7,0,24,20
2019-06-14 20:00:00,6,4,5,20,0,71,53,62,63,7,1014.7,0,14,25
2019-06-14 21:00:00,6,4,5,21,0,71,53,62,63,7,1014.7,0,22,11
2019-06-14 22:00:00,6,4,5,22,0,71,53,62,63,7,1014.7,0,16,15
2019-06-14 23:00:00,6,4,5,23,0,71,53,62,63,7,1014.7,0,15,7
